ID,MFACTOR,EFACTOR,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,STATUS
195,22,B,3.317,3.317,3.317,3.317,3.317,3.317,3.162,3.162,3.162,3.162,3.162,3.162,3.162,3,3.162,3,3,3,3,3.317,3.162,3.317,3.317,3.606,3.606,3.464,3.464,3.317,3.162,2.828,3,3,2.828,3,3,2.646,2
196,22,B,2,1.732,2,2,2,2,2.236,2,2.449,2.236,2.236,2.828,2.449,1.732,2.236,3.317,3.317,2.236,2.236,2.828,2.449,2.236,2,2.646,2.236,2.236,3.162,2,2,1.732,2,2,1.732,1.732,1.732,2,0
197,97,B,2.236,2.449,2.449,2.646,2.236,2.449,2.646,2.828,2.449,2.646,2.449,2.828,2.828,2.646,2.236,2.646,2.236,2.449,2.449,2.449,2.646,2.646,2.646,2.646,2.828,2.236,2.236,2.449,2.449,2,2,2.236,2.236,2,2.449,2.236,0
198,22,B,4.243,3.742,4.359,4.123,4.243,4.359,4.472,4.472,4.243,3.873,3.873,3.873,4.359,3.873,4.243,4,4.243,4.123,5.292,3,3,3,3,3.162,3.606,2.646,2.449,2.236,2.236,2.236,2.236,2.236,2.236,2,2.449,2,2
199,22,B,1.414,1.414,1.732,1.414,1.732,1.414,1.414,1.414,1.414,1.414,1.732,1.414,1.732,1.414,1.732,1.732,1.732,1.732,1.414,2,1.414,2,1.414,1.732,1.732,1.414,1.732,1.414,1.732,1.414,1.414,2,1.414,1.732,1.732,1.414,2
200,22,B,4.583,3,2.646,3,2.646,2.828,2.828,2.646,3.464,3,3.162,2.646,3,2,2.828,2.236,3.317,2.646,2.236,2,1.414,2.449,2.236,4.472,2.828,3.317,2.449,2.449,3,3.162,1.732,3.162,1.732,1.414,2,2.236,0
201,97,B,2.236,1.414,2,2,2,2.236,1.732,2.449,2.236,2.828,3,2.646,2,2.236,2.236,2.828,2.449,2.449,2.449,2.236,2,1.732,2.236,1.732,1.732,1.732,2,1.732,2,1.732,1.732,2,2,1.732,2,2,0
202,22,B,4,4.123,3.873,4.69,4,3.162,3.742,3.464,3.606,3.606,3.742,3.464,3.742,3.464,2.236,1.414,3.317,3.162,3,3.162,3.464,3.317,3.606,3.464,2.449,3,3.606,4.123,4,3.606,4.123,3.873,4,2.828,3.317,4.123,1
203,3,B,2.646,2.828,2.449,2.646,2.646,2.236,2.449,2.449,2.646,3,2,2.236,2.236,2,2.236,1.732,2,2,2,1.414,2,1.732,1.732,1.732,2.236,1.414,1.732,1.414,1.732,1,1.732,1,1.732,2,1,1,0
204,22,B,2.828,2,2.646,3.162,2.828,2.646,2.828,2,3.162,2,3,2.449,2.646,2,3.162,2.646,2.828,3,2.236,2.646,1,3.162,3.873,3,3,4.359,4.243,2.828,3.742,2,2.236,3,2.449,2.828,2.449,3.162,0
