ID,Met,Norte,Rio,Sor,Socc,Valor de vivienda,Area,Habitaciones,Garajes,Baños,Casa,Apartamento,E_Bajo,E_Medio,E_Alto,D_Parques,D_salud,D_Comercios,D_Centros educativos,D_Transmetro ,D_Bus,R_Bajo,R_Medio,R_Alto,S_Bajo,S_Medio,S_Alto,Residencial,Comercial,Institucional,Otros,Densidad
38,1,0,0,0,0,370,240,5,0,3,1,0,0,1,0,228.33,386.09,76.11,61.68,387.90,23.41,0,1,0,0,0,1,1,0,0,0,0.02
39,1,0,0,0,0,380,100,4,0,3,0,1,0,1,0,285.06,329.39,130.42,94.38,331.16,73.96,0,1,0,0,0,1,1,0,0,0,0.02
40,1,0,0,0,0,700,220,3,1,2,1,0,0,1,0,205.51,73.45,132.66,73.26,69.15,346.11,0,1,0,0,0,1,0,0,1,0,0.00
41,1,0,0,0,0,400,247,5,0,3,1,0,0,1,0,332.18,88.46,26.45,26.45,69.95,234.21,0,1,0,0,0,1,0,0,1,0,0.02
42,1,0,0,0,0,900,560,4,4,2,1,0,0,1,0,336.24,105.32,41.16,41.16,86.92,216.76,0,1,0,0,0,1,0,0,1,0,0.00
43,1,0,0,0,0,340,107,3,1,2,1,0,0,1,0,403.21,254.43,72.10,165.78,235.50,67.73,0,1,0,0,0,1,1,0,0,0,0.00
44,1,0,0,0,0,500,284,5,0,4,1,0,0,1,0,436.07,248.95,123.77,189.30,230.02,71.49,0,1,0,0,0,1,1,0,0,0,0.02
45,1,0,0,0,0,320,147,3,0,1,1,0,0,1,0,355.85,365.54,173.31,162.50,417.89,79.22,1,0,0,0,0,1,1,0,0,0,0.02
46,1,0,0,0,0,772,163,5,0,5,0,1,1,0,0,363.94,316.30,124.58,117.03,439.10,94.84,1,0,0,0,0,1,1,0,0,0,0.02
47,1,0,0,0,0,460,270,3,1,3,1,0,0,1,0,358.78,263.34,153.57,103.49,252.79,37.80,0,1,0,0,0,1,1,0,0,0,0.00
48,1,0,0,0,0,550,236,3,2,2,1,0,0,1,0,382.70,290.93,156.69,132.37,285.66,6.26,0,1,0,0,0,1,1,0,0,0,0.04
49,1,0,0,0,0,300,100,3,1,2,1,0,0,1,0,366.35,275.68,136.68,145.24,297.10,4.55,1,0,0,0,0,1,1,0,0,0,0.00
50,1,0,0,0,0,400,164,4,1,3,1,0,0,1,0,262.86,171.06,13.09,166.41,350.03,61.07,0,1,0,0,0,1,1,0,0,0,0.03
51,1,0,0,0,0,420,180,3,2,2,1,0,0,1,0,247.45,164.32,65.62,140.89,412.33,71.08,1,0,0,0,0,1,1,0,0,0,0.02
52,1,0,0,0,0,175,63,2,1,2,0,1,0,1,0,184.13,128.91,146.75,87.52,429.93,29.10,0,1,0,0,0,1,1,0,0,0,0.02
53,1,0,0,0,0,370,224,4,0,1,1,0,0,1,0,366.43,161.84,237.27,52.01,135.40,154.39,0,1,0,0,0,1,1,0,0,0,0.02
54,1,0,0,0,0,220,134,3,0,2,1,0,0,1,0,88.25,171.72,75.21,119.58,331.63,135.04,0,1,0,0,0,1,0,0,1,0,0.00
55,1,0,0,0,0,738,469,4,0,2,1,0,0,1,0,207.21,86.12,252.82,204.28,91.84,58.35,0,1,0,0,0,1,1,0,0,0,0.02
56,0,0,0,0,1,300,72,4,0,1,1,0,1,0,0,214.69,379.22,29.46,145.87,25.50,183.91,0,1,0,0,1,0,0,1,0,0,0.04
57,0,0,0,0,1,180,96,3,0,2,1,0,1,0,0,107.18,434.33,150.78,105.51,22.33,20.67,0,1,0,0,1,0,1,0,0,0,0.07
58,0,0,0,0,1,250,77,3,0,2,1,0,0,1,0,63.13,670.09,661.40,34.09,2.153.44,62.83,0,1,0,0,0,1,0,0,1,0,0.04
59,0,0,0,0,1,440,232,7,0,6,1,0,1,0,0,100.48,319.98,60.72,172.25,1.66,0.90,0,1,0,0,1,0,1,0,0,0,0.06
60,0,0,0,0,1,210,101,1,0,1,1,0,1,0,0,95.29,413.03,278.29,175.71,3.89,22.35,0,1,0,0,1,0,1,0,0,0,0.06
61,0,0,0,0,1,245,116,4,1,3,1,0,1,0,0,127.78,498.82,348.55,75.23,93.24,0.07,0,1,0,0,1,0,0,0,0,1,0.03
62,0,0,0,0,1,260,72,5,0,2,1,0,1,0,0,112.12,249.17,121.74,111.95,112.24,234.50,0,1,0,0,1,0,1,0,0,0,0.01
63,0,0,0,0,1,250,158,6,0,3,1,0,1,0,0,85.22,440.02,121.74,100.35,72.76,37.26,0,1,0,0,1,0,1,0,0,0,0.07
64,0,0,0,0,1,550,211,5,4,3,1,0,1,0,0,88.94,410.76,238.59,82.60,10.60,367.30,0,1,0,0,1,0,0,1,0,0,0.06
65,0,0,0,0,1,285,72,2,0,2,1,0,1,0,0,91.70,237.49,82.60,181.35,86.15,175.23,0,1,0,0,1,0,1,0,0,0,0.07
66,0,0,0,0,1,250,137,3,1,1,1,0,1,0,0,37.93,164.94,99.43,98.53,124.78,59.75,0,1,0,0,1,0,1,0,0,0,0.07
67,0,0,0,0,1,240,72,4,0,4,1,0,0,1,0,125.10,43.65,99.43,37.04,5.32,6.93,0,1,0,0,1,0,1,0,0,0,0.05
68,0,0,0,0,1,280,120,5,0,2,1,0,1,0,0,78.10,632.60,287.76,127.26,33.65,33.60,0,1,0,0,1,0,1,0,0,0,0.08
69,0,0,0,0,1,279,140,2,0,1,1,0,1,0,0,85.21,638.91,272.42,55.48,104.21,19.10,0,1,0,0,1,0,1,0,0,0,0.07
70,0,0,0,0,1,300,140,7,0,3,1,0,1,0,0,293.04,201.68,211.42,95.40,239.45,248.02,0,1,0,0,1,0,1,0,0,0,0.08
71,0,0,0,0,1,550,156,3,0,4,1,0,0,1,0,367.67,219.57,61.19,279.86,68.27,1.23,0,1,0,0,0,1,1,0,0,0,0.00
