LOCALIDAD,BARRIO,Num_Hab,Num_Garaje,Num_baños,Tipo,Estrato,Uso_suelo,Nivel_ruido,Distancia_al_parque,Distancia_cc,Distancia_escula,Distancia_Uni,Distancia_transporte_convecional,Distancia_transmetro,Indicador_seguirdad,Valor_vivienda_millones,Log_Precio,Area
METROPOLITANA,SAN JOSE,5,1,3,Casa,Medio,Actividad Residencial,Medio,115.0,184.3,192.8,112.7,216.6,188.3,75.2,400,2.6,360.0
METROPOLITANA,SAN JOSE,5,2,3,Casa,Medio,Actividad Residencial,Medio,183.4,135.8,216.3,111.2,186.4,163.3,75.2,650,2.8,204.0
METROPOLITANA,SAN JOSE,5,0,3,Casa,Medio,Actividad Residencial,Medio,228.3,386.1,76.1,61.7,387.9,23.4,75.2,370,2.6,240.0
METROPOLITANA,SAN JOSE,4,0,3,Apartamento,Medio,Actividad Residencial,Medio,285.1,329.4,130.4,94.4,331.2,74.0,75.2,380,2.6,100.0
METROPOLITANA,SAN JOSE,3,1,2,Casa,Medio,Area de Actividad Institucional,Medio,205.5,73.4,132.7,73.3,69.1,346.1,75.2,700,2.8,220.0
METROPOLITANA,SAN JOSE,5,0,3,Casa,Medio,Area de Actividad Institucional,Medio,332.2,88.5,26.5,26.5,69.9,234.2,75.2,400,2.6,247.0
METROPOLITANA,SAN JOSE,4,4,2,Casa,Medio,Area de Actividad Institucional,Medio,336.2,105.3,41.2,41.2,86.9,216.8,75.2,900,3.0,560.0
METROPOLITANA,SAN JOSE,3,1,2,Casa,Medio,Actividad Residencial,Medio,403.2,254.4,72.1,165.8,235.5,67.7,75.2,340,2.5,106.5
METROPOLITANA,SAN JOSE,5,0,4,Casa,Medio,Actividad Residencial,Medio,436.1,248.9,123.8,189.3,230.0,71.5,75.2,500,2.7,284.0
METROPOLITANA,SAN JOSE,3,0,1,Casa,Medio,Actividad Residencial,Bajo,355.9,365.5,173.3,162.5,417.9,79.2,75.2,320,2.5,147.0
METROPOLITANA,SAN JOSE,5,0,5,Apartamento,Bajo,Actividad Residencial,Bajo,363.9,316.3,124.6,117.0,439.1,94.8,75.2,772,2.9,162.8
METROPOLITANA,SAN JOSE,3,1,3,Casa,Medio,Actividad Residencial,Medio,358.8,263.3,153.6,103.5,252.8,37.8,75.2,460,2.7,270.0
METROPOLITANA,SAN JOSE,3,2,2,Casa,Medio,Actividad Residencial,Medio,382.7,290.9,156.7,132.4,285.7,6.3,75.2,550,2.7,236.0
METROPOLITANA,SAN JOSE,3,1,2,Casa,Medio,Actividad Residencial,Bajo,366.4,275.7,136.7,145.2,297.1,4.6,75.2,300,2.5,100.0
METROPOLITANA,SAN JOSE,4,1,3,Casa,Medio,Actividad Residencial,Medio,262.9,171.1,13.1,166.4,350.0,61.1,75.2,400,2.6,164.0
METROPOLITANA,SAN JOSE,3,2,2,Casa,Medio,Actividad Residencial,Bajo,247.5,164.3,65.6,140.9,412.3,71.1,75.2,420,2.6,180.0
METROPOLITANA,SAN JOSE,2,1,2,Apartamento,Medio,Actividad Residencial,Medio,184.1,128.9,146.8,87.5,429.9,29.1,75.2,175,2.2,62.6
METROPOLITANA,SAN JOSE,4,0,1,Casa,Medio,Actividad Residencial,Medio,366.4,161.8,237.3,52.0,135.4,154.4,75.2,370,2.6,224.0
METROPOLITANA,SAN JOSE,3,0,2,Casa,Medio,Area de Actividad Institucional,Medio,88.2,171.7,75.2,119.6,331.6,135.0,75.2,220,2.3,134.0
METROPOLITANA,SAN JOSE,4,0,2,Casa,Medio,Actividad Residencial,Medio,207.2,86.1,252.8,204.3,91.8,58.3,75.2,738,2.9,469.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,4,0,1,Casa,Bajo,Actividad Central,Medio,214.7,379.2,29.5,145.9,25.5,183.9,46.1,300,2.5,72.3
SUROCCIDENTE,CIUDADELA 20 DE JULIO,3,0,2,Casa,Bajo,Actividad Residencial,Medio,107.2,434.3,150.8,105.5,22.3,20.7,46.1,180,2.3,96.0
SUROCCIDENTE,VILLA SAN CARLOS,3,0,2,Casa,Medio,Area de Actividad Institucional,Medio,63.1,670.1,661.4,34.1,2153.4,62.8,82.4,250,2.4,77.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,7,0,6,Casa,Bajo,Actividad Residencial,Medio,100.5,320.0,60.7,172.3,1.7,0.9,46.1,440,2.6,232.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,1,0,1,Casa,Bajo,Actividad Residencial,Medio,95.3,413.0,278.3,175.7,3.9,22.3,46.1,210,2.3,101.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,4,1,3,Casa,Bajo,Area de Reserva y Proteccion,Medio,127.8,498.8,348.5,75.2,93.2,0.1,46.1,245,2.4,116.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,5,0,2,Casa,Bajo,Actividad Residencial,Medio,112.1,249.2,121.7,111.9,112.2,234.5,46.1,260,2.4,72.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,6,0,3,Casa,Bajo,Actividad Residencial,Medio,85.2,440.0,121.7,100.4,72.8,37.3,46.1,250,2.4,158.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,5,4,3,Casa,Bajo,Actividad Central,Medio,88.9,410.8,238.6,82.6,10.6,367.3,46.1,550,2.7,211.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,2,0,2,Casa,Bajo,Actividad Residencial,Medio,91.7,237.5,82.6,181.4,86.1,175.2,46.1,285,2.5,72.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,3,1,1,Casa,Bajo,Actividad Residencial,Medio,37.9,164.9,99.4,98.5,124.8,59.7,46.1,250,2.4,137.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,4,0,4,Casa,Medio,Actividad Residencial,Medio,125.1,43.6,99.4,37.0,5.3,6.9,46.1,240,2.4,72.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,5,0,2,Casa,Bajo,Actividad Residencial,Medio,78.1,632.6,287.8,127.3,33.6,33.6,46.1,280,2.4,120.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,2,0,1,Casa,Bajo,Actividad Residencial,Medio,85.2,638.9,272.4,55.5,104.2,19.1,46.1,279,2.4,140.0
SUROCCIDENTE,CIUDADELA 20 DE JULIO,7,0,3,Casa,Bajo,Actividad Residencial,Medio,293.0,201.7,211.4,95.4,239.5,248.0,46.1,300,2.5,140.0
SUROCCIDENTE,LA SIERRA,3,0,4,Casa,Medio,Actividad Residencial,Medio,367.7,219.6,61.2,279.9,68.3,1.2,83.0,550,2.7,156.0
SUROCCIDENTE,LA CEIBA,4,0,2,Casa,Bajo,Actividad Residencial,Medio,549.2,88.0,246.3,225.3,366.3,103.5,73.1,280,2.4,197.0
SUROCCIDENTE,LA CEIBA,3,0,1,Casa,Medio,Espacio Publico,Medio,306.5,267.5,246.3,494.7,383.6,306.8,73.1,450,2.7,112.0
SUROCCIDENTE,EL BOSQUE,10,2,4,Casa,Bajo,Actividad Residencial,Medio,220.8,302.5,53.5,122.4,1139.4,291.0,9.6,230,2.4,265.0
SUROCCIDENTE,LA PRADERA,3,0,2,Casa,Bajo,Actividad Residencial,Medio,251.5,330.2,255.1,180.3,2336.2,44.1,61.7,290,2.5,490.0
SUROCCIDENTE,LA PRADERA,3,1,2,Casa,Medio,Actividad Residencial,Medio,340.2,388.6,390.4,293.6,1847.5,24.6,61.7,550,2.7,126.0
SUROCCIDENTE,LA PRADERA,9,1,6,Casa,Bajo,Actividad Residencial,Medio,279.3,331.2,390.4,249.1,1915.4,20.1,61.7,630,2.8,454.0
SUROCCIDENTE,LOS OLIVOS,8,0,6,Casa,Bajo,Actividad Residencial,Medio,173.4,732.5,390.4,299.7,2200.2,48.9,61.5,450,2.7,204.0
SUROCCIDENTE,LOMA FRESCA,4,1,3,Casa,Medio,Actividad Residencial,Medio,307.4,401.2,528.6,124.6,58.0,53.9,97.3,420,2.6,320.0
